City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
137,jamestown,42.097,-79.2353,16.120000000000005,84,100,3.09,US,1712774756
138,champerico,14.3,-91.9167,36.30000000000001,60,100,5.47,GT,1712774802
139,kill devil hills,36.0307,-75.676,25.0,58,100,5.14,US,1712774667
140,nantucket,41.2835,-70.0995,13.080000000000041,82,0,7.72,US,1712774685
141,kapuskasing,49.4169,-82.4331,9.050000000000011,71,75,5.14,CA,1712774509
142,faya-largeau,17.9257,19.1043,29.090000000000032,10,19,5.3,TD,1712774648
143,sola,-13.8833,167.55,27.379999999999995,75,100,1.37,VU,1712774648
144,colonia del sacramento,-34.4667,-57.85,17.07000000000005,67,75,9.26,UY,1712774802
145,piti village,13.4626,144.6933,27.49000000000001,82,20,6.17,GU,1712774802
146,fortaleza,-3.7227,-38.5247,29.07000000000005,74,20,4.12,BR,1712774207
147,rio grande,-32.035,-52.0986,25.060000000000002,77,100,8.2,BR,1712774803
148,taroa,8.7058,171.2275,27.28000000000003,81,100,9.57,MH,1712774649
149,severobaykal'sk,55.65,109.3167,-4.71999999999997,74,100,2.33,RU,1712774649
150,hami,42.8,93.45,12.830000000000041,40,0,3.58,CN,1712774649
151,kailua-kona,19.6406,-155.9956,24.77000000000004,84,40,1.54,US,1712774659
152,chongwe,-15.3292,28.682,22.32000000000005,73,85,1.62,ZM,1712774649
153,coquimbo,-29.9533,-71.3436,15.850000000000023,82,75,3.09,CL,1712774249
154,hamilton,39.1834,-84.5333,17.55000000000001,93,100,3.6,US,1712774146
155,mili,6.0815,171.735,27.960000000000036,84,86,8.47,MH,1712774650
156,punta alta,-38.8759,-62.0736,15.610000000000014,44,100,5.81,AR,1712774804
157,crane,31.3974,-102.3501,19.850000000000023,24,0,9.58,US,1712774650
158,palu,-0.8917,119.8707,24.230000000000018,100,100,0.33,ID,1712774804
159,ust'-kut,56.7938,105.7672,-0.3100000000000023,99,100,1.34,RU,1712774804
160,novaya igirma,57.1334,103.9112,3.0200000000000387,97,100,3.55,RU,1712774650
161,minas de marcona,-15.2119,-75.1103,23.560000000000002,57,100,6.7,PE,1712774650
162,papatowai,-46.5619,169.4708,12.310000000000002,99,100,1.44,NZ,1712774651
163,new plymouth,-39.0667,174.0833,19.340000000000032,87,100,8.98,NZ,1712774518
164,juan griego,11.0817,-63.9655,30.470000000000027,56,40,7.34,VE,1712774651
165,amasra,41.7463,32.3863,11.629999999999995,83,100,1.61,TR,1712774805
166,bandarbeyla,9.4942,50.8122,28.04000000000002,71,100,5.18,SO,1712774651
167,puerto ayora,-0.7393,-90.3518,28.980000000000018,89,51,3.13,EC,1712774651
168,villa yapacani,-17.4,-63.8333,29.970000000000027,64,43,2.74,BO,1712774651
169,vilyuchinsk,52.9306,158.4028,3.150000000000034,73,88,17.3,RU,1712774805
170,enewetak,11.3474,162.3373,27.090000000000032,81,100,9.96,MH,1712774805
171,valparaiso,-33.0393,-71.6273,26.75,70,40,5.14,CL,1712774652
172,sitka,57.0531,-135.33,6.939999999999998,65,100,5.66,US,1712774805
173,monetnyy,57.0472,60.8794,2.680000000000007,86,93,2.27,RU,1712774652
174,changqing,36.5575,116.7272,14.960000000000036,69,0,4.52,CN,1712774652
175,mpophomeni,-29.5682,30.1862,11.660000000000025,83,18,1.73,ZA,1712774652
176,baukau,51.5526,7.2042,13.82000000000005,54,20,2.41,DE,1712774652
177,patacamaya,-17.2333,-67.9167,17.24000000000001,39,31,4.44,BO,1712774806
178,karachi,24.9056,67.0822,24.900000000000034,83,40,2.57,PK,1712774653
179,bilibino,68.0546,166.4372,-23.069999999999965,98,81,1.64,RU,1712774806
180,zhangjiakou,40.81,114.8794,9.720000000000027,83,6,1.02,CN,1712774806
181,udachny,66.4167,112.4,-21.96999999999997,87,67,10.97,RU,1712774653
182,dunedin,-45.8742,170.5036,14.330000000000041,91,100,1.34,NZ,1712774615
183,boa vista,2.8197,-60.6733,34.99000000000001,34,91,4.12,BR,1712774653
184,lebu,-37.6167,-73.65,15.28000000000003,50,100,2.51,CL,1712774797
185,kiama,-34.6833,150.8667,16.110000000000014,87,0,1.34,AU,1712774535
186,kitui,-1.367,38.0106,19.83000000000004,92,55,1.96,KE,1712774807
187,damara,4.9608,18.7035,28.75,50,74,0.65,CF,1712774807
188,vila franca do campo,37.7167,-25.4333,18.27000000000004,99,100,4.56,PT,1712774807
189,darab,28.7519,54.5444,22.090000000000032,46,100,1.07,IR,1712774654
190,frontera,26.9333,-101.45,28.27000000000004,18,0,1.79,MX,1712774807
191,labasa,-16.4167,179.3833,25.57000000000005,92,85,1.78,FJ,1712774654
192,balqash,46.8481,74.995,7.060000000000002,85,100,4.05,KZ,1712774807
193,lompoc,34.6391,-120.4579,27.610000000000014,51,0,3.09,US,1712774654
194,pokaran,26.9167,71.9167,30.350000000000023,13,0,2.89,IN,1712774797
195,salinopolis,-0.6136,-47.3561,27.49000000000001,81,84,2.12,BR,1712774654
196,port alfred,-33.5906,26.891,17.5,70,100,8.76,ZA,1712774655
197,kittila,67.6647,24.8936,3.080000000000041,100,100,7.2,FI,1712774655
198,ballina,-28.8667,153.5667,12.660000000000025,80,0,4.18,AU,1712774712
199,shushtar,32.0455,48.8567,25.379999999999995,43,21,3.61,IR,1712774808
200,mount isa,-20.7333,139.5,17.870000000000005,36,6,4.63,AU,1712774808
201,arraial do cabo,-22.9661,-42.0278,27.980000000000018,78,20,7.72,BR,1712774791
202,gadzhiyevo,69.2551,33.3362,2.8600000000000136,98,100,12.78,RU,1712774655
203,city of balikpapan,-1.242,116.8942,25.970000000000027,83,20,1.54,ID,1712774655
204,avarua,-21.2078,-159.775,27.03000000000003,89,75,8.75,CK,1712774655
205,khandyga,62.6667,135.6,-9.579999999999984,98,98,1.54,RU,1712774656
206,bodden town,19.2833,-81.25,31.0,70,20,6.69,KY,1712774656
207,punta arenas,-53.15,-70.9167,9.060000000000002,66,75,10.8,CL,1712774656
208,amos,48.5669,-78.1162,9.950000000000045,63,100,3.05,CA,1712774809
209,mistrato,5.2973,-75.8832,25.200000000000045,64,69,1.46,CO,1712774809
210,ola,59.5833,151.2833,-8.810000000000002,73,1,3.96,RU,1712774656
211,la ronge,55.1001,-105.2842,11.140000000000043,32,40,6.17,CA,1712774809
212,zaozersk,69.4005,32.4476,2.6000000000000227,100,100,10.79,RU,1712774656
213,port isabel,26.0734,-97.2086,30.02000000000004,26,0,13.38,US,1712774809
214,mundri,-6.9558,111.71,24.470000000000027,95,99,1.26,ID,1712774809
215,damghan,36.1683,54.348,20.870000000000005,24,100,4.68,IR,1712774657
216,kirakira,-10.4544,161.9205,25.720000000000027,80,100,2.38,SB,1712774657
217,newman,37.3138,-121.0208,23.49000000000001,62,99,1.79,US,1712774810
218,buka,40.8108,69.1986,14.620000000000005,66,0,2.32,UZ,1712774810
219,hudson,40.7168,-74.0663,20.77000000000004,66,75,5.14,US,1712774657
220,sainte-agathe-des-monts,46.0501,-74.2825,18.120000000000005,88,100,1.41,CA,1712774515
221,san patricio,28.017,-97.5169,25.510000000000048,37,0,12.82,US,1712774810
222,todos santos,23.45,-110.2167,29.060000000000002,63,12,5.66,MX,1712774774
223,mangrol,21.1167,70.1167,25.730000000000018,76,6,5.36,IN,1712774657
224,metlili chaamba,32.2667,3.6333,22.52000000000004,31,2,6.17,DZ,1712774810
225,miranda,3.2499,-76.2281,31.660000000000025,45,91,2.2,CO,1712774658
226,kapa'a,22.0752,-159.319,24.5,81,40,4.12,US,1712774811
227,urucui,-7.2294,-44.5561,32.84000000000003,51,9,1.93,BR,1712774811
228,toamasina,-18.1667,49.3833,27.0,89,20,2.57,MG,1712774641
229,smithers,54.7804,-127.1743,3.180000000000007,70,100,1.54,CA,1712774811
230,st. paul,44.9444,-93.0933,21.980000000000018,34,0,5.66,US,1712774811
231,khanty-mansiysk,61.0042,69.0019,-7.939999999999998,53,20,3.0,RU,1712774811
232,kulhudhuffushi,6.6221,73.07,29.439999999999998,69,9,1.05,MV,1712774811
233,east ballina,-28.8667,153.5833,12.670000000000016,80,0,4.18,AU,1712774811
234,pakxan,18.3778,103.6601,27.02000000000004,66,80,1.78,LA,1712774811
235,callao,-12.0667,-77.15,26.160000000000025,65,0,3.09,PE,1712774526
236,port hedland,-20.3167,118.5667,26.03000000000003,53,100,3.09,AU,1712774659
237,freyung,48.8,13.55,10.100000000000023,79,100,1.05,DE,1712774659
238,grand falls-windsor,48.9332,-55.6649,3.0600000000000023,46,97,1.34,CA,1712774659
239,trincomalee,8.5711,81.2335,29.510000000000048,74,100,4.26,LK,1712774812
240,kishtwar,33.3167,75.7667,11.180000000000007,66,95,2.45,IN,1712774812
241,tura,25.5198,90.2201,24.33000000000004,32,88,2.14,IN,1712774812
242,calama,-22.4667,-68.9333,24.27000000000004,17,0,9.26,CL,1712774660
243,bazas,44.432,-0.2133,14.160000000000025,78,59,2.03,FR,1712774812
244,huarmey,-10.0681,-78.1522,25.400000000000034,74,38,4.29,PE,1712774813
245,fisterra,42.9049,-9.2629,13.75,72,100,6.41,ES,1712774813
246,haiku-pauwela,20.9219,-156.3051,24.54000000000002,69,62,1.79,US,1712774813
247,magistral'nyy,56.1725,107.4458,2.430000000000007,92,100,1.32,RU,1712774813
248,kerema,-7.9631,145.7785,25.5,86,100,1.46,PG,1712774660
249,kingscliff,-28.2667,153.5667,16.890000000000043,67,0,3.6,AU,1712774660
250,bom jesus,-9.0744,-44.3586,29.33000000000004,57,100,0.89,BR,1712774813
251,mabaruma,8.2,-59.7833,32.0,58,40,5.14,GY,1712774661
252,meadow lake,34.8014,-106.5436,18.160000000000025,17,0,4.1,US,1712774661
253,tashtyp,52.7939,89.8983,5.010000000000048,89,100,2.71,RU,1712774813
254,ascension,30.2169,-90.9001,19.0,100,75,1.54,US,1712774814
255,howard springs,-12.497,131.047,23.260000000000048,78,100,2.54,AU,1712774814
256,leh,34.1667,77.5833,-13.569999999999993,58,4,2.92,IN,1712774814
257,sungai penuh,-2.0833,101.3833,18.82000000000005,96,100,1.74,ID,1712774661
258,majagual,8.5389,-74.6204,36.910000000000025,43,20,0.83,CO,1712774662
259,qaqortoq,60.7167,-46.0333,-0.9899999999999523,78,74,2.61,GL,1712774662
260,klyuchi,52.2667,79.1667,3.75,88,100,0.98,RU,1712774814
261,shahrisabz,39.0578,66.8342,16.49000000000001,58,0,1.2,UZ,1712774814
262,quebo,11.3333,-14.9333,27.52000000000004,52,91,4.18,GW,1712774814
263,kodiak,57.79,-152.4072,-1.2699999999999818,80,100,4.63,US,1712774814
264,ceyhan,37.0247,35.8175,15.910000000000025,91,9,0.93,TR,1712774662
265,anadyr,64.75,177.4833,-9.71999999999997,92,75,5.0,RU,1712774815
266,pathein,16.7833,94.7333,27.310000000000002,74,97,2.69,MM,1712774815
267,cidreira,-30.1811,-50.2056,23.340000000000032,77,65,5.33,BR,1712774815
268,pandan,14.0453,124.1694,25.29000000000002,86,100,4.88,PH,1712774815
269,pontianak,-0.0333,109.3333,23.99000000000001,100,75,1.03,ID,1712774815
270,pacasmayo,-7.4006,-79.5714,24.760000000000048,72,53,5.68,PE,1712774663
271,salta,-24.7859,-65.4117,19.33000000000004,94,100,3.09,AR,1712774662
272,taoudenni,22.6783,-3.9836,35.83000000000004,10,0,3.04,ML,1712774815
273,acarau,-2.8856,-40.12,28.900000000000034,78,100,4.31,BR,1712774535
274,puerto deseado,-47.7503,-65.8938,10.550000000000011,51,13,5.86,AR,1712774816
275,egilsstadir,65.2653,-14.3948,0.9500000000000455,86,75,4.63,IS,1712774663
276,mtimbira,-8.7833,36.35,23.410000000000025,95,100,1.05,TZ,1712774816
277,muriti,-1.9833,32.9167,23.200000000000045,69,61,0.57,TZ,1712774816
278,atafu village,-8.5421,-172.5159,29.710000000000036,77,84,4.26,TK,1712774816
279,burley,42.5357,-113.7928,12.330000000000041,46,0,5.66,US,1712774816
280,susuman,62.7833,148.1667,-21.67999999999998,100,87,0.45,RU,1712774642
281,polyarnyy,69.1989,33.4478,2.7200000000000273,98,100,13.35,RU,1712774816
282,diapaga,12.0708,1.7889,36.27000000000004,24,97,0.91,BF,1712774664
283,santo tomas chautla,18.95,-98.15,24.710000000000036,24,26,6.9,MX,1712774664
284,daru,-9.0763,143.2092,26.30000000000001,88,96,3.48,PG,1712774817
285,aoulef,26.9667,1.0833,30.689999999999998,13,0,7.0,DZ,1712774664
286,oyon,-10.6681,-76.7731,9.510000000000048,72,57,2.25,PE,1712774817
287,bamboo flat,11.7,92.7167,28.05000000000001,89,20,1.03,IN,1712774665
288,erbil,36.1926,44.0106,14.900000000000034,82,75,3.09,IQ,1712774665
289,aripuana,-9.1667,-60.6333,30.450000000000045,75,67,0.94,BR,1712774546
290,xunchang,28.4543,104.715,15.610000000000014,85,99,0.26,CN,1712774665
291,leava,-14.3,-178.1667,28.890000000000043,81,100,6.65,WF,1712774665
292,simoca,-27.2627,-65.3565,18.24000000000001,96,100,3.8,AR,1712774665
293,ko pha ngan,9.7578,100.0291,26.660000000000025,74,100,4.86,TH,1712774665
294,enriquillo,17.9,-71.2333,30.82000000000005,55,0,6.01,DO,1712774818
295,mar del plata,-38.0023,-57.5575,17.83000000000004,51,0,7.6,AR,1712774604
296,noumea,-22.2763,166.4572,27.78000000000003,99,98,3.63,NC,1712774818
297,salekhard,66.53,66.6019,-25.339999999999975,100,53,0.89,RU,1712774791
298,east london,-33.0153,27.9116,15.520000000000039,94,100,6.69,ZA,1712774666
299,nouadhibou,20.931,-17.0347,20.99000000000001,73,0,8.75,MR,1712774666
300,zagora,30.3484,-5.8365,25.99000000000001,11,0,3.46,MA,1712774818
301,nuoro,40.3211,9.3297,6.07000000000005,93,99,2.69,IT,1712774819
302,sakiet sidi youssef,36.2229,8.3555,7.150000000000034,83,0,2.49,TN,1712774819
303,quimili,-27.6333,-62.4167,18.340000000000032,95,100,7.21,AR,1712774819
304,sosnovo-ozerskoye,52.5249,111.5418,4.010000000000048,60,100,0.48,RU,1712774819
305,obo,5.3998,26.4869,26.340000000000032,43,59,1.02,CF,1712774667
306,ferkessedougou,9.6,-5.2,30.32000000000005,44,98,1.5,CI,1712774819
307,glendive,47.1053,-104.7125,3.7900000000000205,93,100,13.38,US,1712774819
308,goure,13.9835,10.2704,31.210000000000036,8,12,4.53,NE,1712774667
309,tolanaro,-25.0319,46.9987,24.04000000000002,94,0,2.06,MG,1712774819
310,sao tome,0.3365,6.7273,28.74000000000001,79,95,2.72,ST,1712774820
311,new norfolk,-42.7826,147.0587,9.720000000000027,91,93,0.34,AU,1712774820
312,flying fish cove,-10.4217,105.6791,25.82000000000005,83,75,3.09,CX,1712774668
313,villa angela,-27.5738,-60.7153,19.54000000000002,97,100,5.65,AR,1712774739
314,la sarre,48.8002,-79.1996,10.610000000000014,58,100,4.78,CA,1712774785
315,sidi ifni,29.3797,-10.173,37.860000000000014,35,0,4.42,MA,1712774668
316,fale old settlement,-9.3852,-171.2468,29.80000000000001,77,61,5.11,TK,1712774820
317,pama,11.2497,0.7075,37.74000000000001,23,34,1.34,BF,1712774820
318,quelimane,-17.8786,36.8883,29.970000000000027,89,20,3.03,MZ,1712774821
319,thunder bay,48.4001,-89.3168,12.990000000000009,58,20,4.12,CA,1712774669
320,ambon,-3.6954,128.1814,25.49000000000001,95,40,1.54,ID,1712774821
321,roma,43.2128,-75.4557,16.49000000000001,75,100,3.09,US,1712774821
322,mount gambier,-37.8333,140.7667,13.310000000000002,77,100,1.94,AU,1712774821
323,ruston,32.5232,-92.6379,21.439999999999998,78,75,3.6,US,1712774612
324,kerikeri,-35.2268,173.9474,21.060000000000002,90,100,7.02,NZ,1712774569
325,mao,39.8885,4.2658,13.310000000000002,76,20,1.54,ES,1712774821
326,xapuri,-10.6517,-68.5044,27.610000000000014,88,89,2.16,BR,1712774669
327,yerofey pavlovich,53.9667,121.9667,-7.089999999999975,94,5,1.56,RU,1712774821
328,lorengau,-2.0226,147.2712,26.100000000000023,84,100,0.89,PG,1712774670
